"unique_row","study_ID","long_cite","short_cite","peer_reviewed","coder","expt_num","expt_condition","same_infant","response_mode","exposure_phase","method","dependent_measure","participant_design","native_lang","infant_type","group_name_1","group_name_2","n_1","n_2","mean_age_1","mean_age_2","x_1","x_2","SD_1","SD_2","t","F","r","d","d_var","corr","test_lang","stimuli_link","data_link","age_range_1","age_range_2","n_excluded_1","n_excluded_2","gender_1","gender_2","num_trials","special_cases_measures","x_dif","SD_dif","contrast_sampa","audio_condition","speaker","speech_type","object_stimulus","cue_type","N_AFC","mean_comprehension_vocab","mean_production_vocab","pointing_modality","motive","correlation_type","condition_type","stimulus_naturalness","contrast_pseudoIPA","sampa_comments","counterbalanced","backness","height","nasality","roundness","tenseness","length","F1_1","F2_1","F1_2","F2_2","duration_word_1","duration_word_2","duration_vowel_1","duration_vowel_2","peripherality","Linguistic","words_to_passage","edge_alignment","familiarization_voice","familiarization_register","familiarization_affect","test_voice","test_register","indexical","rule.type","repetitions","types","tokens","expt_condition2","word_round","word_spiky","multiple_age_groups_younger_older","replication","native","label_present","instruction_code","taxonomic_type","tokens_per_trial","word_types_per_cond","publication_type","main_or_baseline_study","Modality","Semantics","TrainingRule","Speech","Nonspeech","CorrectPronunciation","Mispronunciation","is_correct","n_feature","type_feature","mispron_location","scenarios","Hamlin_Lab","stimuli_type","minimal_pairs","cues_present","word_typicality","ME_trial_type","corr_imputed","dataset","short_name","domain","d_calc","d_var_calc","g_calc","g_var_calc","r_calc","r_var_calc","z_calc","z_var_calc","log_odds_calc","log_odds_var_calc","es_method","mean_age","n","same_infant_calc","all_mod","mean_age_months","year"
"1","albareda2011","Albareda-Castellot, B., Pons, F., & Sebastián-Gallés, N. (2011). The acquisition of phonetic categories in bilingual infants: new data from an anticipatory eye movement paradigm. Developmental Science, 14(2), 395-401.","Albareda-Castellot et al. (2011)","yes","Sho Tsuji",1,NA,"144","eye-tracking","conditioning","anticipatory eye movements","target_selection","within_one","Peninsular Spanish","typical",NA,NA,18,NA,240,NA,58,50,13,NA,NA,NA,NA,NA,NA,NA,"native",NA,NA,22,NA,9,NA,NA,NA,NA,NA,NA,NA,"deDi -duDi_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natural","deði -duði_","not_looked_up",1,1,0,0,1,0,0,675,2526,442,2716,761.9,792.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,"Vowel discrimination (native)","inphondb-native","early_language",0.615384615384615,0.0660749506903353,0.586538461538462,0.0600256082809418,0.294085848837523,0.0125927848959259,0.303033092725022,0.0666666666666667,1.11618422414413,0.217377874711699,"group_means_one",240,18,"albareda2011 144","",7.8851721801269,"2011"
"2","albareda2011","Albareda-Castellot, B., Pons, F., & Sebastián-Gallés, N. (2011). The acquisition of phonetic categories in bilingual infants: new data from an anticipatory eye movement paradigm. Developmental Science, 14(2), 395-401.","Albareda-Castellot et al. (2011)","yes","Sho Tsuji",2,NA,"146","eye-tracking","conditioning","anticipatory eye movements","target_selection","within_one","Catalan","typical",NA,NA,18,NA,240,NA,59,50,12,NA,NA,NA,NA,NA,NA,NA,"native",NA,NA,22,NA,10,NA,NA,NA,NA,NA,NA,NA,"dEDi -deDi_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natural","dεði -deði_","not_looked_up",1,0,0,0,0,1,0,675,2528,442,2718,761.9,792.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,"Vowel discrimination (native)","inphondb-native","early_language",0.75,0.0711805555555556,0.71484375,0.0646637810601128,0.351123441588392,0.011991478235884,0.366724604230137,0.0666666666666667,1.36034952317566,0.234174641461032,"group_means_one",240,18,"albareda2011 146","",7.8851721801269,"2011"
"3","albareda2011","Albareda-Castellot, B., Pons, F., & Sebastián-Gallés, N. (2011). The acquisition of phonetic categories in bilingual infants: new data from an anticipatory eye movement paradigm. Developmental Science, 14(2), 395-401.","Albareda-Castellot et al. (2011)","yes","Sho Tsuji",2,NA,"147","eye-tracking","conditioning","anticipatory eye movements","target_selection","within_one","Catalan, Peninsular Spanish","bilingual",NA,NA,18,NA,236,NA,61,50,15,NA,NA,NA,NA,NA,NA,NA,"native",NA,NA,30,NA,9,NA,NA,NA,NA,NA,NA,NA,"dEDi -deDi_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natural","dεði -deði_","not_looked_up",1,0,0,0,0,1,0,675,2529,442,2719,761.9,792.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.707,"Vowel discrimination (native)","inphondb-native","early_language",0.733333333333333,0.0704938271604938,0.698958333333333,0.064039924527392,0.344254649158423,0.0120709485851054,0.358911222673771,0.0666666666666667,1.33011953377176,0.231915395597614,"group_means_one",236,18,"albareda2011 147","",7.75375264379145,"2011"
"4","benderssubmitted","Benders, T. (submitted). Learning phonemes from multiple auditory cues: Dutch infants' language input and perception.","Benders (submitted)","no","Sho Tsuji",1,NA,"149","eye-tracking","test_only","stimulus alternation","looking_time","within_one","Dutch","typical",NA,NA,18,NA,350,NA,1.251317,1,0.5549284,NA,NA,NA,NA,NA,NA,NA,"native",NA,NA,71.4,NA,14.5,NA,NA,NA,NA,NA,NA,NA,"sɑk -sa:k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natural","sɑk -sa:k","not_looked_up",NA,1,0,0,0,0,1,1001,1354,1113,1734,150,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.338,"Vowel discrimination (native)","inphondb-native","early_language",0.452881849261995,0.0612528324830823,0.431653012577839,0.0556449681810423,0.220849616532045,0.0131800350334932,0.22454911414427,0.0666666666666667,0.821436810264623,0.20151374168474,"group_means_one",350,18,"benderssubmitted 149","",11.4992094293517,"Inf"
"5","benderssubmitted","Benders, T. (submitted). Learning phonemes from multiple auditory cues: Dutch infants' language input and perception.","Benders (submitted)","no","Sho Tsuji",2,NA,"150","eye-tracking","test_only","stimulus alternation","looking_time","within_one","Dutch","typical",NA,NA,24,NA,460.6,NA,1.172404,1,0.4784515,NA,NA,NA,NA,NA,NA,NA,"native",NA,NA,39.2,NA,14.5,NA,NA,NA,NA,NA,NA,NA,"sɑk -sa:k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"synthetic","sɑk -sa:k","not_looked_up",NA,1,0,0,0,0,1,1001,1354,1113,1734,150,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.567,"Vowel discrimination (native)","inphondb-native","early_language",0.360337463671866,0.0443717309942807,0.34805323195578,0.0413979540849274,0.177313842686839,0.0100791915967714,0.179207964949555,0.0476190476190476,0.653579862517802,0.145977143835035,"group_means_one",460.6,24,"benderssubmitted 150","",15.1329596090269,"Inf"
"6","bergmann2017","Bergmann, C., & Cristia, A. (2018). Environmental influences on infants’ native vowel discrimination: The case of talker number in daily life. Infancy.","Bergmann & Cristia (2017)","yes","Christina Bergmann",1,"4mos","194","eye-tracking","habituation","central fixation","looking_time","within_one","Parisian French","typical",NA,NA,46,NA,138,NA,0.5462665,0.5,0.1245012,NA,2.326,NA,NA,0.69,NA,NA,"native",NA,NA,30,NA,39,NA,0.5869565217,NA,NA,NA,NA,NA,"ge-gi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natural","ge-gi",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.452,"Vowel discrimination (native)","inphondb-native","early_language",0.371614892065297,0.0232401916087468,0.365280547314184,0.0224546647294093,0.18268073205545,0.00524756092383149,0.184754574135996,0.0232558139534884,0.674034854968004,0.0764571657946157,"group_means_one",138,46,"bergmann2017 194","",4.53397400357297,"2017"
"7","bergmann2017","Bergmann, C., & Cristia, A. (2018). Environmental influences on infants’ native vowel discrimination: The case of talker number in daily life. Infancy.","Bergmann & Cristia (2017)","yes","Christina Bergmann",1,"6mos","195","eye-tracking","habituation","central fixation","looking_time","within_one","Parisian French","typical",NA,NA,46,NA,180,NA,0.5799165,0.5,0.116344,NA,4.175,NA,NA,1.25,NA,NA,"native",NA,NA,57,NA,25,NA,0.4565217391,NA,NA,NA,NA,NA,"ge-gi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natural","ge-gi",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.557918903,"Vowel discrimination (native)","inphondb-native","early_language",0.686898335969194,0.0268677100430136,0.675189841606083,0.0259595717289951,0.324825304720108,0.00480723083693094,0.33703220951203,0.0232558139534884,1.24589576507447,0.0883912230959065,"group_means_one",180,46,"bergmann2017 195","",5.91387913509518,"2017"
"8","bergmann2017","Bergmann, C., & Cristia, A. (2018). Environmental influences on infants’ native vowel discrimination: The case of talker number in daily life. Infancy.","Bergmann & Cristia (2017)","yes","Christina Bergmann",1,"12mos","196","eye-tracking","habituation","central fixation","looking_time","within_one","Parisian French","typical",NA,NA,46,NA,358,NA,0.4890216,0.5,0.1396073,NA,-0.533,NA,NA,-0.16,NA,NA,"native",NA,NA,53,NA,11,NA,0.4130434783,NA,NA,NA,NA,NA,"ge-gi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natural","ge-gi",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4136643196,"Vowel discrimination (native)","inphondb-native","early_language",-0.0786377216664172,0.021806346644227,-0.0772973059561941,0.021069284243126,-0.0392885030828439,0.00542638062252253,-0.0393087368930543,0.0232558139534884,-0.142633049563375,0.071740004937181,"group_means_one",358,46,"bergmann2017 196","",11.7620485020226,"2017"
"9","bohn2001","Bohn, O. S., & Polka, L. (2001). Target spectral, dynamic spectral, and duration cues in infant perception of German vowels. The Journal of the Acoustical Society of America, 110(1), 504–515.","Bohn & Polka (2001)","yes","Sho Tsuji",1,"FULL","100","behavior","conditioning","conditioned head-turn","pc_head_turns","within_one","German","typical",NA,NA,20,NA,249.444,NA,70.5,50,6.9,NA,NA,NA,NA,NA,NA,NA,"native",NA,NA,182.52,NA,33,NA,NA,NA,NA,NA,NA,NA,"e-i_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"synthetic","e-i_","not_looked_up",1,0,1,0,0,0,0,299,2206,255,2279,202.4,148.9,141,88.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6309368123,"Vowel discrimination (native)","inphondb-native","early_language",2.97101449275362,0.270673177903802,2.84722222222222,0.24858699845679,0.82955169835243,0.00205209434434751,1.18669710382283,0.0588235294117647,5.38882419808717,0.890479062632068,"group_means_one",249.444,20,"bohn2001 100","",8.1954537054149,"2001"
"10","bohn2001","Bohn, O. S., & Polka, L. (2001). Target spectral, dynamic spectral, and duration cues in infant perception of German vowels. The Journal of the Acoustical Society of America, 110(1), 504–515.","Bohn & Polka (2001)","yes","Sho Tsuji",1,"FULL","101","behavior","conditioning","conditioned head-turn","pc_head_turns","within_one","German","typical",NA,NA,10,NA,249.444,NA,71.4,50,6.9,NA,NA,NA,NA,NA,NA,NA,"native",NA,NA,182.52,NA,33,NA,NA,NA,NA,NA,NA,NA,"E-I_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"synthetic","ε-I_","AEnglish",1,0,1,0,0,0,0,494,1697,345,2088,132,120.7,68.9,62.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.364,"Vowel discrimination (native)","inphondb-native","early_language",3.10144927536232,0.580949380382273,2.8106884057971,0.477127371974113,0.84041204899222,0.00367979649486511,1.22257478898744,0.142857142857143,5.62540672385685,1.91124685381034,"group_means_one",249.444,10,"bohn2001 101","",8.1954537054149,"2001"
