"unique_row","study_ID","long_cite","short_cite","peer_reviewed","coder","expt_num","expt_condition","same_infant","response_mode","exposure_phase","method","dependent_measure","participant_design","native_lang","infant_type","group_name_1","group_name_2","n_1","n_2","mean_age_1","mean_age_2","x_1","x_2","SD_1","SD_2","t","F","r","d","d_var","corr","test_lang","stimuli_link","data_link","age_range_1","age_range_2","n_excluded_1","n_excluded_2","gender_1","gender_2","num_trials","special_cases_measures","x_dif","SD_dif","contrast_sampa","audio_condition","speaker","speech_type","object_stimulus","cue_type","N_AFC","mean_comprehension_vocab","mean_production_vocab","pointing_modality","motive","correlation_type","condition_type","stimulus_naturalness","contrast_pseudoIPA","sampa_comments","counterbalanced","backness","height","nasality","roundness","tenseness","length","F1_1","F2_1","F1_2","F2_2","duration_word_1","duration_word_2","duration_vowel_1","duration_vowel_2","peripherality","Linguistic","words_to_passage","edge_alignment","familiarization_voice","familiarization_register","familiarization_affect","test_voice","test_register","indexical","rule.type","repetitions","types","tokens","expt_condition2","word_round","word_spiky","multiple_age_groups_younger_older","replication","native","label_present","instruction_code","taxonomic_type","tokens_per_trial","word_types_per_cond","publication_type","main_or_baseline_study","Modality","Semantics","TrainingRule","Speech","Nonspeech","CorrectPronunciation","Mispronunciation","is_correct","n_feature","type_feature","mispron_location","scenarios","Hamlin_Lab","stimuli_type","minimal_pairs","cues_present","word_typicality","ME_trial_type","corr_imputed","dataset","short_name","domain","d_calc","d_var_calc","g_calc","g_var_calc","r_calc","r_var_calc","z_calc","z_var_calc","log_odds_calc","log_odds_var_calc","es_method","mean_age","n","same_infant_calc","all_mod","mean_age_months","year"
"1","Bahlmann2016","Bahlmann, M & Levelt, C.c. Is rule learning facilitated by stimuli with low variability? Leiden University MSc thesis, 2016","Bahlmann & Levelt (2016)","no","HR",1,"SpeechABAvsABB","SpeechABAvsABB","behavior","familiarization","head-turn preference procedure","looking_time","within_two","Dutch","typical","experimental",NA,10,NA,215,NA,9.69,9.62,1.84,1.78,NA,NA,NA,NA,NA,NA,"artificial",NA,NA,21,NA,7,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Speech","Meaningful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,"Abstract rule learning","ruleLearning","early_language",0.0386687220383997,0.00807476350320416,0.0350435293472997,0.00663171494745576,0.0193307482706448,0.00201642870126626,0.0193331566346528,0.142857142857143,0.070137303448999,0.0265649071363265,"group_means_two",215,10,"Bahlmann2016 SpeechABAvsABB","",7.06380007803035,"2016"
"2","Bulf2015","Bulf, H., Brenna, V., Valenza, E., Johnson, S. P., & Turati, C. (2015). Many faces, one rule: the role of perceptual expertise in infants’ sequential rule learning.  Front Psychol. ; 6: 1595.","Bulf et al (2015)","yes","HR",1,"UprightFacesABB","UprightFacesABB","behavior","habituation","central fixation","looking_time","within_two",NA,"typical","experimental",NA,17,NA,225,NA,12.75,10.21,7,5.48,NA,NA,NA,NA,NA,0.814,"artificial",NA,NA,35,NA,6,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nonspeech","Meaningful","ABB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.814,"Abstract rule learning","ruleLearning","early_language",0.404065363617162,0.0266843770022079,0.383862095436304,0.0240826502444927,0.198031554936068,0.00591662016339855,0.200682928111192,0.0714285714285714,0.732893499637877,0.0877880815671064,"group_means_two",225,17,"Bulf2015 UprightFacesABB","",7.39234891886897,"2015"
"3","Bulf2015","Bulf, H., Brenna, V., Valenza, E., Johnson, S. P., & Turati, C. (2015). Many faces, one rule: the role of perceptual expertise in infants’ sequential rule learning.  Front Psychol. ; 6: 1595.","Bulf et al (2015)","yes","HR",1,"UprightFacesABA","UprightFacesABA","behavior","habituation","central fixation","looking_time","within_two",NA,"typical","experimental",NA,18,NA,225,NA,9.38,7.36,6.18,5.7,NA,NA,NA,NA,NA,0.516,"artificial",NA,NA,35,NA,5,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nonspeech","Meaningful","ABA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.516,"Abstract rule learning","ruleLearning","early_language",0.33979010179436,0.0569849253688173,0.323862440772749,0.0517677996331467,0.167494932774095,0.0130805396693715,0.169088170351696,0.0666666666666667,0.61631107060769,0.187472890071942,"group_means_two",225,18,"Bulf2015 UprightFacesABA","",7.39234891886897,"2015"
"4","Bulf2015","Bulf, H., Brenna, V., Valenza, E., Johnson, S. P., & Turati, C. (2015). Many faces, one rule: the role of perceptual expertise in infants’ sequential rule learning.  Front Psychol. ; 6: 1595.","Bulf et al (2015)","yes","HR",1,"InvertedFacesABB","InvertedFacesABB","behavior","habituation","central fixation","looking_time","within_two",NA,"typical","experimental",NA,18,NA,225,NA,6.8,8.4,3.32,4.42,NA,NA,NA,NA,NA,0.349,"artificial",NA,NA,35,NA,6,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nonspeech","Meaningful","ABB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.349,"Abstract rule learning","ruleLearning","early_language",-0.409323644615205,0.0769873846122521,-0.390136598773868,0.0699389790386206,-0.200505661255449,0.0170176031064585,-0.203259340072081,0.0666666666666667,-0.742430966369093,0.253278343332481,"group_means_two",225,18,"Bulf2015 InvertedFacesABB","",7.39234891886897,"2015"
"5","Bulf2015","Bulf, H., Brenna, V., Valenza, E., Johnson, S. P., & Turati, C. (2015). Many faces, one rule: the role of perceptual expertise in infants’ sequential rule learning.  Front Psychol. ; 6: 1595.","Bulf et al (2015)","yes","HR",1,"InvertedFacesABA","InvertedFacesABA","behavior","habituation","central fixation","looking_time","within_two",NA,"typical","experimental",NA,18,NA,225,NA,7.45,7.44,3.9,2.68,NA,NA,NA,NA,NA,0.071,"artificial",NA,NA,35,NA,6,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nonspeech","Meaningful","ABA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071,"Abstract rule learning","ruleLearning","early_language",0.00298857855735218,0.103222470322272,0.0028484889374763,0.0937721709153258,0.00149428761037929,0.0258054447172148,0.00149428872257671,0.0666666666666667,0.00542068188728941,0.339588315794671,"group_means_two",225,18,"Bulf2015 InvertedFacesABA","",7.39234891886897,"2015"
"6","Bulf2017","Bulf, H., Brenna, V., Valenza, E., Johnson, S. P., & Turati, C. (2015). Many faces, one rule: the role of perceptual expertise in infants’ sequential rule learning.  Front Psychol. ; 6: 1595.","Bulf et al (2017)","yes","HR",1,"LeftToRightShapesABB","LeftToRightShapesABB","behavior","habituation","central fixation","looking_time","within_two","Italian","typical","experimental",NA,16,NA,230,NA,8.37,6.52,4.34,3.63,NA,NA,NA,NA,NA,0.919,"artificial",NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nonspeech","Meaningless","ABB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.919,"Abstract rule learning","ruleLearning","early_language",0.4624096944246,0.0168069601718079,0.437637746508997,0.0150544486998113,0.225262448300158,0.00359401901556241,0.229193007254687,0.0769230769230769,0.838718409763079,0.0552926826935362,"group_means_two",230,16,"Bulf2017 LeftToRightShapesABB","",7.55662333928828,"2017"
"7","Bulf2017","Bulf, H., Brenna, V., Valenza, E., Johnson, S. P., & Turati, C. (2015). Many faces, one rule: the role of perceptual expertise in infants’ sequential rule learning.  Front Psychol. ; 6: 1595.","Bulf et al (2017)","yes","HR",1,"LeftToRightShapesABA","LeftToRightShapesABA","behavior","habituation","central fixation","looking_time","within_two","Italian","typical","experimental",NA,16,NA,230,NA,7.3,4.8,3.18,2.03,NA,NA,NA,NA,NA,0.792,"artificial",NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nonspeech","Meaningless","ABA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.792,"Abstract rule learning","ruleLearning","early_language",0.937135100848154,0.0534444436638025,0.886931434731288,0.0478716333710527,0.424298421302766,0.00736610337104973,0.452922600818844,0.0769230769230769,1.69977505011995,0.175825172132679,"group_means_two",230,16,"Bulf2017 LeftToRightShapesABA","",7.55662333928828,"2017"
"8","Bulf2017","Bulf, H., Brenna, V., Valenza, E., Johnson, S. P., & Turati, C. (2015). Many faces, one rule: the role of perceptual expertise in infants’ sequential rule learning.  Front Psychol. ; 6: 1595.","Bulf et al (2017)","yes","HR",2,"RightToLeftShapesABB","RightToLeftShapesABB","behavior","habituation","central fixation","looking_time","within_two","Italian","typical","experimental",NA,16,NA,230,NA,8.4,7.07,4.94,4.45,NA,NA,NA,NA,NA,0.385,"artificial",NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nonspeech","Meaningless","ABB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.385,"Abstract rule learning","ruleLearning","early_language",0.282895173451096,0.0793759274738102,0.267740074873359,0.0710991646281673,0.140053471061418,0.0186990192509473,0.140980116533323,0.0769230769230769,0.513115085750527,0.261136334378689,"group_means_two",230,16,"Bulf2017 RightToLeftShapesABB","",7.55662333928828,"2017"
"9","Bulf2017","Bulf, H., Brenna, V., Valenza, E., Johnson, S. P., & Turati, C. (2015). Many faces, one rule: the role of perceptual expertise in infants’ sequential rule learning.  Front Psychol. ; 6: 1595.","Bulf et al (2017)","yes","HR",2,"RightToLeftShapesABA","RightToLeftShapesABA","behavior","habituation","central fixation","looking_time","within_two","Italian","typical","experimental",NA,16,NA,230,NA,5.86,7.19,3.52,3.33,NA,NA,NA,NA,NA,0.609,"artificial",NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nonspeech","Meaningless","ABA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.609,"Abstract rule learning","ruleLearning","early_language",-0.388171875853639,0.0535836689126166,-0.367376953932908,0.0479963411911799,-0.19053053015284,0.0119893458088024,-0.192887626417295,0.0769230769230769,-0.704065901636934,0.176283204842159,"group_means_two",230,16,"Bulf2017 RightToLeftShapesABA","",7.55662333928828,"2017"
"10","Dawson2009","Dawson C, Gerken, LA (2009). From domain-generality to domain-sensitivity: 4-month-olds learn an abstract repetition rule in music that 7-month-olds do not. Cognition 111.3 : 378-382.","Dawson & Gerken (2009)","yes","HR",1,"4mo","4mo","behavior","familiarization","head-turn preference procedure","looking_time","within_two","American English","typical","experimental",NA,18,NA,119,NA,NA,NA,NA,NA,2.61,NA,NA,NA,NA,NA,"artificial",NA,NA,30,NA,5,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nonspeech","Meaningless",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,"Abstract rule learning","ruleLearning","early_language",0.67389910224009,0.0792816666666667,0.642310081822586,0.072023213297526,0.319310313449324,0.0143549328003717,0.330878930062593,0.0666666666666667,1.22231776320109,0.260826228753011,"t_two",119,18,"Dawson2009 4mo","",3.90973120597959,"2009"
